"user_id","customer_segment","customer_perk"
"552598","Bronze","No cancellation fees"
"550028","Bronze","No cancellation fees"
"489953","Platinum","1 night free hotel with flight"
"486751","Bronze","No cancellation fees"
"536431","Silver","Free checked bag"
"524926","Silver","Free checked bag"
"547130","Bronze","No cancellation fees"
"399137","Gold","Free hotel meal"
"575419","Platinum","1 night free hotel with flight"
"643645","Bronze","No cancellation fees"
"592445","Silver","Free checked bag"
"553568","Gold","Free hotel meal"
"545300","Silver","Free checked bag"
"612002","Silver","Free checked bag"
"542095","Bronze","No cancellation fees"
"526540","Bronze","No cancellation fees"
"521309","Bronze","No cancellation fees"
"482602","Silver","Free checked bag"
"526378","Silver","Free checked bag"
"504320","Blue","Exclusive discounts"
"547175","Bronze","No cancellation fees"
"511504","Gold","Free hotel meal"
"533388","Silver","Free checked bag"
"563896","Silver","Free checked bag"
"581409","Silver","Free checked bag"
"474464","Silver","Free checked bag"
"604840","Silver","Free checked bag"
"555180","Bronze","No cancellation fees"
"620690","Silver","Free checked bag"
"527605","Gold","Free hotel meal"
"616795","Silver","Free checked bag"
"615006","Blue","Exclusive discounts"
"582828","Gold","Free hotel meal"
"635587","Blue","Exclusive discounts"
"509157","Bronze","No cancellation fees"
"519313","Bronze","No cancellation fees"
"531803","Casual web searcher","No perks"
"528413","Casual web searcher","No perks"
"437162","Blue","Exclusive discounts"
"524172","Casual web searcher","No perks"
"635576","Silver","Free checked bag"
"511178","Silver","Free checked bag"
"509411","Silver","Free checked bag"
"522607","Gold","Free hotel meal"
"529309","Silver","Free checked bag"
"631787","Silver","Free checked bag"
"574104","Gold","Free hotel meal"
"546844","Silver","Free checked bag"
"533093","Blue","Exclusive discounts"
"548853","Bronze","No cancellation fees"
"630992","Blue","Exclusive discounts"
"512786","Silver","Free checked bag"
"550985","Blue","Exclusive discounts"
"529783","Blue","Exclusive discounts"
"534688","Bronze","No cancellation fees"
"543327","Silver","Free checked bag"
"844489","Casual web searcher","No perks"
"511567","Gold","Free hotel meal"
"486113","Blue","Exclusive discounts"
"510836","Gold","Free hotel meal"
"599790","Casual web searcher","No perks"
"521212","Silver","Free checked bag"
"657796","Blue","Exclusive discounts"
"570782","Platinum","1 night free hotel with flight"
"757930","Silver","Free checked bag"
"524278","Blue","Exclusive discounts"
"583297","Silver","Free checked bag"
"442833","Bronze","No cancellation fees"
"506858","Bronze","No cancellation fees"
"502609","Gold","Free hotel meal"
"654233","Gold","Free hotel meal"
"509765","Silver","Free checked bag"
"553245","Bronze","No cancellation fees"
"517968","Gold","Free hotel meal"
"574440","Bronze","No cancellation fees"
"511943","Gold","Free hotel meal"
"506807","Silver","Free checked bag"
"317688","Silver","Free checked bag"
"583931","Gold","Free hotel meal"
"573720","Silver","Free checked bag"
"675201","Platinum","1 night free hotel with flight"
"521286","Bronze","No cancellation fees"
"464542","Bronze","No cancellation fees"
"524849","Silver","Free checked bag"
"550068","Silver","Free checked bag"
"486823","Silver","Free checked bag"
"634739","Casual web searcher","No perks"
"547336","Blue","Exclusive discounts"
"592792","Bronze","No cancellation fees"
"532730","Bronze","No cancellation fees"
"508848","Bronze","No cancellation fees"
"513853","Silver","Free checked bag"
"587134","Bronze","No cancellation fees"
"529048","Bronze","No cancellation fees"
"600304","Blue","Exclusive discounts"
"599833","Silver","Free checked bag"
"550805","Gold","Free hotel meal"
"389759","Platinum","1 night free hotel with flight"
"551051","Blue","Exclusive discounts"
"566787","Bronze","No cancellation fees"
"593719","Bronze","No cancellation fees"
"583976","Bronze","No cancellation fees"
"476742","Bronze","No cancellation fees"
"546190","Silver","Free checked bag"
"530278","Bronze","No cancellation fees"
"592221","Bronze","No cancellation fees"
"538489","Silver","Free checked bag"
"505498","Silver","Free checked bag"
"524407","Gold","Free hotel meal"
"586637","Silver","Free checked bag"
"561031","Gold","Free hotel meal"
"541516","Gold","Free hotel meal"
"519096","Bronze","No cancellation fees"
"593398","Casual web searcher","No perks"
"613921","Blue","Exclusive discounts"
"552623","Silver","Free checked bag"
"505854","Silver","Free checked bag"
"513967","Platinum","1 night free hotel with flight"
"515398","Silver","Free checked bag"
"189676","Gold","Free hotel meal"
"505617","Blue","Exclusive discounts"
"508731","Gold","Free hotel meal"
"616802","Silver","Free checked bag"
"557134","Gold","Free hotel meal"
"686408","Silver","Free checked bag"
"548635","Bronze","No cancellation fees"
"603221","Casual web searcher","No perks"
"508944","Bronze","No cancellation fees"
"532426","Bronze","No cancellation fees"
"751545","Silver","Free checked bag"
"546671","Blue","Exclusive discounts"
"586732","Silver","Free checked bag"
"682005","Blue","Exclusive discounts"
"449619","Gold","Free hotel meal"
"517839","Gold","Free hotel meal"
"482744","Gold","Free hotel meal"
"567245","Casual web searcher","No perks"
"542670","Platinum","1 night free hotel with flight"
"486268","Casual web searcher","No perks"
"533248","Silver","Free checked bag"
"523503","Bronze","No cancellation fees"
"560090","Silver","Free checked bag"
"489096","Bronze","No cancellation fees"
"549759","Casual web searcher","No perks"
"536622","Silver","Free checked bag"
"556647","Blue","Exclusive discounts"
"375729","Gold","Free hotel meal"
"533773","Silver","Free checked bag"
"568121","Silver","Free checked bag"
"523690","Gold","Free hotel meal"
"565301","Platinum","1 night free hotel with flight"
"541735","Blue","Exclusive discounts"
"612562","Blue","Exclusive discounts"
"539794","Silver","Free checked bag"
"578058","Bronze","No cancellation fees"
"656560","Silver","Free checked bag"
"535637","Silver","Free checked bag"
"525515","Bronze","No cancellation fees"
"568078","Bronze","No cancellation fees"
"602748","Silver","Free checked bag"
"604388","Silver","Free checked bag"
"578120","Silver","Free checked bag"
"539782","Blue","Exclusive discounts"
"531027","Silver","Free checked bag"
"574134","Bronze","No cancellation fees"
"479078","Bronze","No cancellation fees"
"693729","Bronze","No cancellation fees"
"521127","Gold","Free hotel meal"
"478585","Silver","Free checked bag"
"521004","Gold","Free hotel meal"
"505289","Silver","Free checked bag"
"457967","Casual web searcher","No perks"
"520783","Silver","Free checked bag"
"498357","Platinum","1 night free hotel with flight"
"525804","Silver","Free checked bag"
"532225","Gold","Free hotel meal"
"551718","Silver","Free checked bag"
"541132","Casual web searcher","No perks"
"534842","Bronze","No cancellation fees"
"510315","Silver","Free checked bag"
"660959","Casual web searcher","No perks"
"608725","Blue","Exclusive discounts"
"475467","Gold","Free hotel meal"
"545633","Silver","Free checked bag"
"532329","Bronze","No cancellation fees"
"618535","Platinum","1 night free hotel with flight"
"566455","Platinum","1 night free hotel with flight"
"479524","Bronze","No cancellation fees"
"563956","Bronze","No cancellation fees"
"511827","Bronze","No cancellation fees"
"586820","Platinum","1 night free hotel with flight"
"651828","Bronze","No cancellation fees"
"649935","Casual web searcher","No perks"
"494630","Blue","Exclusive discounts"
"585585","Platinum","1 night free hotel with flight"
"542065","Gold","Free hotel meal"
"546282","Bronze","No cancellation fees"
"525356","Platinum","1 night free hotel with flight"
"577410","Gold","Free hotel meal"
"491706","Bronze","No cancellation fees"
"565826","Blue","Exclusive discounts"
"582227","Gold","Free hotel meal"
"380434","Silver","Free checked bag"
"609817","Silver","Free checked bag"
"476665","Platinum","1 night free hotel with flight"
"550442","Blue","Exclusive discounts"
"677842","Casual web searcher","No perks"
"520291","Silver","Free checked bag"
"568716","Silver","Free checked bag"
"642364","Bronze","No cancellation fees"
"689984","Gold","Free hotel meal"
"522800","Gold","Free hotel meal"
"537177","Blue","Exclusive discounts"
"518480","Platinum","1 night free hotel with flight"
"527406","Gold","Free hotel meal"
"509282","Silver","Free checked bag"
"586701","Silver","Free checked bag"
"521065","Silver","Free checked bag"
"587754","Silver","Free checked bag"
"586357","Casual web searcher","No perks"
"520920","Blue","Exclusive discounts"
"590412","Blue","Exclusive discounts"
"473847","Bronze","No cancellation fees"
"581388","Blue","Exclusive discounts"
"551615","Bronze","No cancellation fees"
"630178","Bronze","No cancellation fees"
"432941","Platinum","1 night free hotel with flight"
"610806","Platinum","1 night free hotel with flight"
"538197","Silver","Free checked bag"
"555326","Blue","Exclusive discounts"
"574467","Silver","Free checked bag"
"620991","Blue","Exclusive discounts"
"575576","Gold","Free hotel meal"
"614595","Silver","Free checked bag"
"578866","Casual web searcher","No perks"
"600515","Gold","Free hotel meal"
"562338","Silver","Free checked bag"
"560680","Bronze","No cancellation fees"
"513625","Bronze","No cancellation fees"
"521509","Silver","Free checked bag"
"514235","Bronze","No cancellation fees"
"539337","Silver","Free checked bag"
"523301","Gold","Free hotel meal"
"572176","Blue","Exclusive discounts"
"353271","Blue","Exclusive discounts"
"594410","Silver","Free checked bag"
"564234","Blue","Exclusive discounts"
"556395","Casual web searcher","No perks"
"541382","Silver","Free checked bag"
"520106","Bronze","No cancellation fees"
"516243","Casual web searcher","No perks"
"521235","Platinum","1 night free hotel with flight"
"519532","Silver","Free checked bag"
"528354","Silver","Free checked bag"
"538441","Bronze","No cancellation fees"
"667718","Silver","Free checked bag"
"537770","Gold","Free hotel meal"
"598185","Gold","Free hotel meal"
"532519","Silver","Free checked bag"
"607799","Bronze","No cancellation fees"
"544698","Blue","Exclusive discounts"
"577667","Bronze","No cancellation fees"
"576849","Silver","Free checked bag"
"516939","Blue","Exclusive discounts"
"577541","Silver","Free checked bag"
"543728","Silver","Free checked bag"
"560362","Gold","Free hotel meal"
"566312","Bronze","No cancellation fees"
"669155","Blue","Exclusive discounts"
"511126","Platinum","1 night free hotel with flight"
"515578","Platinum","1 night free hotel with flight"
"606862","Blue","Exclusive discounts"
"532544","Bronze","No cancellation fees"
"574909","Gold","Free hotel meal"
"464673","Platinum","1 night free hotel with flight"
"547555","Silver","Free checked bag"
"560803","Platinum","1 night free hotel with flight"
"549894","Bronze","No cancellation fees"
"497475","Silver","Free checked bag"
"431746","Silver","Free checked bag"
"516089","Silver","Free checked bag"
"535060","Gold","Free hotel meal"
"316527","Platinum","1 night free hotel with flight"
"557834","Bronze","No cancellation fees"
"483525","Bronze","No cancellation fees"
"537748","Platinum","1 night free hotel with flight"
"538188","Silver","Free checked bag"
"539146","Blue","Exclusive discounts"
"562032","Blue","Exclusive discounts"
"574625","Silver","Free checked bag"
"446138","Silver","Free checked bag"
"572489","Silver","Free checked bag"
"575233","Silver","Free checked bag"
"543810","Silver","Free checked bag"
"385689","Platinum","1 night free hotel with flight"
"551488","Blue","Exclusive discounts"
"539868","Bronze","No cancellation fees"
"552348","Gold","Free hotel meal"
"596103","Bronze","No cancellation fees"
"578503","Silver","Free checked bag"
"529229","Gold","Free hotel meal"
"621072","Bronze","No cancellation fees"
"543428","Blue","Exclusive discounts"
"515941","Silver","Free checked bag"
"528829","Gold","Free hotel meal"
"540094","Silver","Free checked bag"
"522223","Platinum","1 night free hotel with flight"
"491003","Bronze","No cancellation fees"
"416580","Bronze","No cancellation fees"
"538780","Silver","Free checked bag"
"485658","Gold","Free hotel meal"
"529362","Silver","Free checked bag"
"529840","Casual web searcher","No perks"
"575774","Silver","Free checked bag"
"560374","Platinum","1 night free hotel with flight"
"517467","Silver","Free checked bag"
"421870","Silver","Free checked bag"
"514021","Blue","Exclusive discounts"
"714504","Bronze","No cancellation fees"
"577915","Gold","Free hotel meal"
"611177","Blue","Exclusive discounts"
"707260","Gold","Free hotel meal"
"588497","Blue","Exclusive discounts"
"708887","Blue","Exclusive discounts"
"537860","Blue","Exclusive discounts"
"564588","Blue","Exclusive discounts"
"589414","Blue","Exclusive discounts"
"533155","Platinum","1 night free hotel with flight"
"558838","Platinum","1 night free hotel with flight"
"587675","Silver","Free checked bag"
"501512","Bronze","No cancellation fees"
"531499","Bronze","No cancellation fees"
"516092","Silver","Free checked bag"
"515818","Blue","Exclusive discounts"
"516679","Bronze","No cancellation fees"
"546470","Blue","Exclusive discounts"
"609800","Bronze","No cancellation fees"
"639510","Bronze","No cancellation fees"
"521434","Silver","Free checked bag"
"543694","Bronze","No cancellation fees"
"548653","Platinum","1 night free hotel with flight"
"607998","Silver","Free checked bag"
"551804","Silver","Free checked bag"
"646455","Platinum","1 night free hotel with flight"
"510393","Bronze","No cancellation fees"
"511851","Blue","Exclusive discounts"
"570439","Silver","Free checked bag"
"572898","Bronze","No cancellation fees"
